                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7431,                 3.9871,                 1.7369,                0.28713,                0.17131,                0.11285,                 0.0772,                 1.3789,                 2.7207,                 1.2715,              0.0033256,              0.0033256,              0.0033256
                      2,                 1.6191,                 2.9693,                 1.6035,                0.26191,                 0.2121,                0.13887,                 0.0931,                 1.3716,                 2.5704,                 1.2792,               0.006637,               0.006637,               0.006637
                      3,                  1.715,                 3.0554,                 1.6703,                0.32745,                0.11338,                0.06577,                0.03926,                 1.7065,                 3.2853,                 1.5024,              0.0099263,              0.0099263,              0.0099263
                      4,                 1.8096,                 3.2083,                 1.7603,                0.29395,                0.15509,                0.10873,                0.06473,                 1.6321,                 2.8639,                 1.4526,               0.009901,               0.009901,               0.009901
                      5,                 1.7571,                 3.0896,                 1.7246,                 0.2772,                0.19133,                0.11666,                0.07086,                 1.5805,                 2.7693,                 1.4368,               0.009901,               0.009901,               0.009901
                      6,                 1.7163,                 2.9823,                 1.6938,                0.27001,                0.20445,                0.14823,                0.09641,                 1.5007,                 2.5536,                 1.3872,               0.009868,               0.009868,               0.009868
                      7,                 1.6653,                 2.8764,                 1.6542,                0.32377,                0.22584,                0.17442,                0.11015,                  1.499,                 2.4153,                 1.3613,               0.009835,               0.009835,               0.009835
                      8,                 1.6533,                 2.8169,                 1.6484,                0.28311,                0.23227,                0.19059,                0.12742,                 1.4437,                 2.3518,                 1.3305,               0.009802,               0.009802,               0.009802
                      9,                 1.6236,                  2.723,                 1.6192,                0.35622,                0.25244,                0.22085,                0.15051,                 1.4304,                 2.2688,                 1.3341,               0.009769,               0.009769,               0.009769
                     10,                 1.6128,                  2.658,                 1.6126,                0.34376,                0.26646,                0.23803,                0.16516,                 1.3841,                 2.2142,                 1.3037,               0.009736,               0.009736,               0.009736
                     11,                 1.5843,                 2.5958,                 1.5954,                0.34657,                0.28183,                0.26203,                0.18168,                 1.3577,                 2.1036,                 1.2804,               0.009703,               0.009703,               0.009703
                     12,                 1.5614,                 2.5407,                 1.5727,                0.41439,                 0.2955,                0.27235,                0.18578,                  1.353,                 2.0136,                 1.2806,                0.00967,                0.00967,                0.00967
                     13,                 1.5463,                 2.4898,                 1.5605,                0.45208,                0.29163,                0.28346,                0.20115,                 1.3111,                 2.0465,                 1.2611,               0.009637,               0.009637,               0.009637
                     14,                 1.5467,                 2.4653,                 1.5608,                0.47069,                0.32586,                0.31412,                 0.2209,                 1.3036,                 1.8959,                 1.2473,               0.009604,               0.009604,               0.009604
                     15,                 1.5245,                   2.39,                 1.5398,                0.49262,                0.32883,                 0.3297,                0.23102,                 1.3212,                 1.8776,                 1.2464,               0.009571,               0.009571,               0.009571
                     16,                 1.5139,                 2.3446,                 1.5341,                0.51059,                0.34364,                0.35536,                0.25283,                 1.2943,                 1.8177,                 1.2438,               0.009538,               0.009538,               0.009538
                     17,                 1.4964,                  2.299,                 1.5187,                0.55901,                0.34974,                 0.3791,                0.27812,                 1.2644,                 1.7574,                 1.2227,               0.009505,               0.009505,               0.009505
                     18,                 1.4916,                 2.2579,                 1.5194,                0.53675,                0.37212,                0.40414,                0.28982,                 1.2444,                 1.6514,                 1.2065,               0.009472,               0.009472,               0.009472
                     19,                 1.4743,                 2.2071,                  1.507,                0.53906,                0.38876,                0.39915,                0.28727,                 1.2372,                 1.6841,                 1.2046,               0.009439,               0.009439,               0.009439
                     20,                 1.4701,                 2.1746,                 1.4987,                0.53147,                0.40125,                0.41753,                0.30216,                 1.2264,                 1.6167,                 1.1973,               0.009406,               0.009406,               0.009406
                     21,                 1.4548,                 2.1234,                 1.4848,                0.56883,                0.40112,                0.44601,                0.32539,                 1.2186,                  1.553,                 1.1843,               0.009373,               0.009373,               0.009373
                     22,                 1.4457,                  2.075,                 1.4727,                0.58165,                0.41426,                0.46012,                0.33588,                  1.196,                 1.4781,                 1.1803,                0.00934,                0.00934,                0.00934
                     23,                 1.4307,                 2.0371,                 1.4722,                0.62467,                0.44255,                0.49846,                0.36412,                 1.1881,                  1.422,                 1.1699,               0.009307,               0.009307,               0.009307
                     24,                  1.421,                  2.004,                 1.4659,                0.67823,                0.45126,                0.50822,                0.37017,                 1.1749,                 1.3748,                  1.165,               0.009274,               0.009274,               0.009274
                     25,                 1.4208,                 1.9687,                 1.4588,                0.70566,                 0.4593,                0.52091,                0.38647,                 1.1565,                 1.3247,                 1.1571,               0.009241,               0.009241,               0.009241
                     26,                 1.4133,                 1.9269,                  1.453,                0.74185,                0.47033,                0.54703,                 0.4028,                 1.1521,                 1.2749,                 1.1552,               0.009208,               0.009208,               0.009208
                     27,                 1.3937,                 1.8754,                 1.4375,                 0.6516,                0.48507,                0.53988,                0.39986,                 1.1423,                 1.2574,                 1.1475,               0.009175,               0.009175,               0.009175
                     28,                 1.3825,                 1.8541,                 1.4327,                0.66933,                0.50792,                0.56517,                0.41828,                 1.1438,                 1.2185,                 1.1471,               0.009142,               0.009142,               0.009142
                     29,                 1.3893,                 1.8369,                 1.4311,                0.76028,                0.49634,                0.57849,                0.42935,                 1.1264,                 1.1694,                 1.1381,               0.009109,               0.009109,               0.009109
                     30,                 1.3638,                   1.79,                 1.4171,                0.70636,                0.53036,                0.58829,                0.43376,                   1.13,                  1.154,                 1.1337,               0.009076,               0.009076,               0.009076
                     31,                 1.3743,                 1.7794,                 1.4233,                0.77365,                0.51741,                0.60001,                0.44385,                 1.1022,                 1.1163,                 1.1185,               0.009043,               0.009043,               0.009043
                     32,                 1.3539,                 1.7378,                 1.4124,                0.79777,                0.53956,                0.61411,                0.45397,                 1.1028,                 1.0792,                  1.122,                0.00901,                0.00901,                0.00901
                     33,                  1.337,                 1.6913,                 1.3993,                0.76615,                0.56129,                0.62184,                 0.4624,                 1.0905,                 1.0496,                 1.1164,               0.008977,               0.008977,               0.008977
                     34,                 1.3409,                 1.6768,                 1.3963,                0.77963,                0.55233,                0.62731,                0.46801,                 1.0886,                 1.0348,                 1.1121,               0.008944,               0.008944,               0.008944
                     35,                 1.3488,                 1.6648,                  1.393,                0.80095,                0.57223,                0.64209,                0.48034,                 1.0791,                0.98839,                  1.107,               0.008911,               0.008911,               0.008911
                     36,                 1.3205,                 1.6382,                 1.3868,                0.77348,                0.59726,                0.65571,                0.49216,                 1.0599,                0.97165,                 1.1016,               0.008878,               0.008878,               0.008878
                     37,                 1.3229,                 1.6203,                 1.3846,                0.82442,                0.58064,                0.65818,                0.49221,                 1.0625,                0.95978,                 1.1025,               0.008845,               0.008845,               0.008845
                     38,                 1.3122,                 1.5993,                 1.3815,                0.80058,                0.60016,                0.66843,                0.50149,                 1.0483,                0.94104,                 1.0923,               0.008812,               0.008812,               0.008812
                     39,                 1.3024,                 1.5717,                 1.3727,                0.79216,                0.60855,                 0.6715,                0.50356,                 1.0546,                0.92847,                 1.0905,               0.008779,               0.008779,               0.008779
                     40,                 1.3017,                  1.571,                 1.3699,                0.78475,                0.61823,                0.67949,                0.50868,                 1.0439,                0.91682,                 1.0874,               0.008746,               0.008746,               0.008746
                     41,                 1.2996,                 1.5445,                 1.3689,                 0.8478,                0.60856,                0.68281,                0.51066,                 1.0376,                0.90683,                 1.0855,               0.008713,               0.008713,               0.008713
                     42,                 1.2932,                 1.5322,                 1.3629,                0.84442,                 0.6124,                0.68906,                0.51442,                 1.0378,                0.88983,                 1.0836,                0.00868,                0.00868,                0.00868
                     43,                 1.2901,                 1.5264,                 1.3602,                0.83519,                0.62433,                0.69708,                0.52079,                 1.0249,                 0.8665,                 1.0731,               0.008647,               0.008647,               0.008647
                     44,                 1.2775,                 1.4976,                 1.3515,                0.85419,                0.62743,                0.69822,                0.52877,                 1.0176,                0.85254,                 1.0722,               0.008614,               0.008614,               0.008614
                     45,                 1.2775,                 1.4843,                 1.3519,                0.84301,                0.63091,                0.70174,                0.53142,                 1.0124,                0.85193,                 1.0677,               0.008581,               0.008581,               0.008581
                     46,                 1.2688,                 1.4655,                 1.3459,                0.85553,                0.64103,                0.70509,                0.53115,                 1.0114,                 0.8419,                 1.0679,               0.008548,               0.008548,               0.008548
                     47,                 1.2655,                 1.4526,                 1.3389,                0.85474,                 0.6396,                0.70354,                0.53163,                 1.0085,                0.81981,                 1.0653,               0.008515,               0.008515,               0.008515
                     48,                 1.2646,                 1.4425,                  1.339,                0.84866,                 0.6409,                   0.71,                0.53494,                 1.0039,                0.82079,                 1.0655,               0.008482,               0.008482,               0.008482
                     49,                 1.2537,                 1.4217,                 1.3315,                0.86324,                0.65037,                0.71683,                0.53742,                 1.0012,                0.81414,                 1.0622,               0.008449,               0.008449,               0.008449
                     50,                 1.2497,                 1.4216,                 1.3334,                0.85871,                0.64926,                0.72042,                0.54076,                 1.0023,                  0.807,                 1.0596,               0.008416,               0.008416,               0.008416
                     51,                 1.2454,                 1.3922,                 1.3293,                0.86434,                0.65963,                0.72406,                0.54604,                0.99472,                0.80056,                 1.0552,               0.008383,               0.008383,               0.008383
                     52,                 1.2303,                 1.3718,                 1.3199,                0.86949,                0.65639,                 0.7233,                  0.549,                0.98616,                0.79058,                 1.0514,                0.00835,                0.00835,                0.00835
                     53,                 1.2354,                   1.38,                 1.3228,                0.86288,                0.65953,                0.72471,                  0.549,                0.98308,                0.78536,                  1.051,               0.008317,               0.008317,               0.008317
                     54,                 1.2276,                 1.3454,                 1.3132,                0.86738,                0.66473,                0.72876,                0.55285,                0.97977,                0.77834,                 1.0512,               0.008284,               0.008284,               0.008284
                     55,                 1.2175,                  1.343,                 1.3087,                0.84414,                0.67119,                 0.7325,                0.55242,                0.97729,                0.77541,                  1.049,               0.008251,               0.008251,               0.008251
                     56,                 1.2208,                 1.3393,                 1.3077,                0.85216,                0.66777,                0.73322,                0.55562,                0.97417,                0.77175,                 1.0484,               0.008218,               0.008218,               0.008218
                     57,                  1.213,                 1.3314,                  1.308,                0.87155,                0.66324,                0.73492,                0.55631,                0.97136,                0.76562,                 1.0485,               0.008185,               0.008185,               0.008185
                     58,                 1.2068,                 1.3034,                 1.2974,                0.85878,                0.67604,                0.73517,                0.55863,                0.96821,                0.75967,                  1.047,               0.008152,               0.008152,               0.008152
