                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8083,                 4.3379,                 1.7681,                 0.2342,                0.16007,                0.09962,                0.06644,                 1.4595,                 2.7834,                 1.2631,              0.0033247,              0.0033247,              0.0033247
                      2,                 1.6841,                 3.2372,                 1.6177,                0.26687,                0.19266,                0.12251,                0.08024,                 1.4727,                 2.7238,                 1.3002,              0.0066361,              0.0066361,              0.0066361
                      3,                 1.7586,                 3.2479,                 1.6891,                0.18718,                 0.1645,                0.07294,                0.04616,                 1.6358,                 3.1042,                 1.4328,              0.0099255,              0.0099255,              0.0099255
                      4,                 1.8736,                 3.4404,                 1.7915,                0.23317,                0.17285,                0.09677,                0.05951,                 1.6042,                 2.9704,                  1.429,               0.009901,               0.009901,               0.009901
                      5,                 1.8023,                 3.2899,                 1.7389,                0.20029,                0.17657,                0.10474,                0.06381,                 1.6172,                 2.9474,                 1.4207,               0.009901,               0.009901,               0.009901
                      6,                 1.7519,                 3.1587,                 1.6996,                0.28718,                0.17441,                0.12078,                0.07999,                 1.5523,                 2.6937,                 1.3869,               0.009868,               0.009868,               0.009868
                      7,                 1.7155,                 3.0728,                 1.6677,                0.23708,                 0.2382,                0.16509,                0.11157,                 1.4408,                 2.4252,                 1.3043,               0.009835,               0.009835,               0.009835
                      8,                 1.6846,                 2.9689,                 1.6473,                0.31674,                0.22391,                0.19412,                0.13249,                 1.3932,                 2.3271,                 1.2825,               0.009802,               0.009802,               0.009802
                      9,                  1.657,                 2.8958,                 1.6286,                0.38177,                0.23288,                0.19951,                  0.136,                 1.3741,                 2.2582,                 1.2933,               0.009769,               0.009769,               0.009769
                     10,                 1.6312,                 2.8258,                 1.6055,                0.40508,                 0.2551,                0.24707,                0.17177,                 1.3363,                 2.0967,                 1.2471,               0.009736,               0.009736,               0.009736
                     11,                 1.6156,                 2.7573,                 1.6018,                0.39072,                0.28888,                0.25093,                0.17472,                   1.34,                 2.1019,                 1.2411,               0.009703,               0.009703,               0.009703
                     12,                 1.5797,                 2.6794,                 1.5733,                 0.4115,                0.28454,                0.25945,                 0.1801,                  1.295,                 1.9871,                 1.2215,                0.00967,                0.00967,                0.00967
                     13,                  1.586,                 2.6304,                 1.5629,                0.38419,                0.32814,                0.29688,                0.21019,                 1.2887,                 1.9393,                 1.2011,               0.009637,               0.009637,               0.009637
                     14,                 1.5618,                 2.5491,                 1.5454,                0.48675,                0.30815,                0.31885,                0.22812,                 1.2688,                 1.8894,                 1.2034,               0.009604,               0.009604,               0.009604
                     15,                 1.5411,                 2.4856,                 1.5365,                 0.5095,                0.34502,                0.34872,                  0.243,                 1.2473,                 1.7671,                 1.1817,               0.009571,               0.009571,               0.009571
                     16,                 1.5334,                  2.458,                 1.5291,                0.52839,                  0.343,                0.35931,                0.25585,                 1.2327,                 1.7213,                 1.1825,               0.009538,               0.009538,               0.009538
                     17,                   1.51,                 2.3987,                 1.5145,                0.59078,                0.34709,                0.39551,                0.27885,                 1.2868,                 1.6663,                  1.201,               0.009505,               0.009505,               0.009505
                     18,                 1.4982,                 2.3285,                 1.5047,                0.53631,                0.37825,                  0.408,                0.29546,                 1.2126,                 1.6013,                 1.1576,               0.009472,               0.009472,               0.009472
                     19,                 1.4776,                 2.2664,                 1.4861,                0.57891,                0.40497,                 0.4359,                  0.308,                  1.186,                  1.501,                 1.1453,               0.009439,               0.009439,               0.009439
                     20,                 1.4732,                 2.2461,                  1.491,                0.65765,                 0.4041,                0.46091,                0.33492,                 1.1803,                 1.4529,                 1.1425,               0.009406,               0.009406,               0.009406
                     21,                 1.4665,                 2.1718,                 1.4714,                0.63593,                0.44014,                0.48607,                0.35356,                 1.1615,                 1.3954,                 1.1278,               0.009373,               0.009373,               0.009373
                     22,                 1.4583,                 2.1299,                  1.471,                0.64909,                0.45051,                 0.5042,                0.36637,                 1.1569,                  1.342,                 1.1251,                0.00934,                0.00934,                0.00934
                     23,                 1.4488,                 2.0913,                 1.4595,                0.69617,                0.44534,                0.50388,                 0.3694,                 1.1346,                 1.3274,                 1.1072,               0.009307,               0.009307,               0.009307
                     24,                 1.4406,                 2.0491,                 1.4497,                0.66289,                0.45926,                0.51955,                0.38067,                 1.1263,                 1.2704,                 1.1068,               0.009274,               0.009274,               0.009274
                     25,                 1.4279,                 2.0252,                 1.4512,                0.75086,                0.47394,                0.55049,                0.40661,                  1.089,                  1.202,                 1.0871,               0.009241,               0.009241,               0.009241
                     26,                 1.4177,                 1.9655,                 1.4406,                0.76109,                0.49063,                0.57091,                0.42032,                 1.0982,                  1.177,                 1.0907,               0.009208,               0.009208,               0.009208
                     27,                 1.3991,                 1.9272,                 1.4294,                0.69485,                0.50522,                0.56961,                0.42341,                 1.0847,                 1.1331,                 1.0856,               0.009175,               0.009175,               0.009175
                     28,                 1.3977,                 1.8847,                 1.4258,                0.75072,                0.51827,                0.59265,                0.43586,                 1.0739,                 1.0903,                 1.0788,               0.009142,               0.009142,               0.009142
                     29,                  1.374,                 1.8561,                 1.4094,                0.77467,                0.53755,                0.60795,                0.45004,                 1.0665,                 1.0528,                 1.0708,               0.009109,               0.009109,               0.009109
                     30,                 1.3792,                 1.8182,                 1.4086,                0.75425,                0.55061,                0.62708,                0.45984,                 1.0565,                 1.0013,                 1.0669,               0.009076,               0.009076,               0.009076
                     31,                 1.3663,                  1.788,                  1.399,                0.81074,                0.53687,                0.62503,                0.46138,                 1.0505,                 1.0024,                 1.0586,               0.009043,               0.009043,               0.009043
                     32,                 1.3686,                 1.7775,                 1.4009,                0.79528,                0.57764,                0.64537,                0.47968,                  1.032,                0.93467,                 1.0497,                0.00901,                0.00901,                0.00901
                     33,                 1.3509,                 1.7284,                 1.3891,                0.82049,                 0.5654,                0.64956,                0.47931,                 1.0372,                0.93262,                 1.0533,               0.008977,               0.008977,               0.008977
                     34,                  1.346,                 1.7026,                 1.3808,                0.80875,                0.57242,                0.65258,                0.48436,                  1.025,                0.91827,                 1.0459,               0.008944,               0.008944,               0.008944
                     35,                 1.3336,                 1.6683,                 1.3687,                0.80238,                0.59701,                0.66707,                0.50031,                 1.0134,                0.88175,                 1.0394,               0.008911,               0.008911,               0.008911
                     36,                 1.3297,                   1.66,                 1.3726,                 0.8342,                0.58486,                0.67628,                0.50564,                 1.0053,                0.84914,                  1.036,               0.008878,               0.008878,               0.008878
                     37,                 1.3306,                 1.6397,                 1.3608,                0.82452,                0.60632,                0.68236,                0.50738,                0.99663,                0.83666,                 1.0283,               0.008845,               0.008845,               0.008845
                     38,                 1.3121,                 1.6238,                 1.3616,                0.83902,                0.62293,                0.69542,                0.51721,                0.98164,                0.80237,                 1.0194,               0.008812,               0.008812,               0.008812
                     39,                 1.3006,                 1.5899,                 1.3528,                0.83402,                0.63842,                0.69981,                0.52307,                0.97495,                0.79155,                 1.0187,               0.008779,               0.008779,               0.008779
                     40,                 1.3012,                 1.5812,                 1.3497,                0.84001,                0.62768,                0.70182,                0.52194,                0.98238,                0.78991,                 1.0165,               0.008746,               0.008746,               0.008746
                     41,                 1.2929,                 1.5523,                   1.35,                 0.8414,                0.63354,                 0.7096,                0.52577,                0.96866,                0.76512,                 1.0162,               0.008713,               0.008713,               0.008713
                     42,                 1.2773,                 1.5301,                 1.3448,                0.85658,                 0.6432,                0.71768,                0.53587,                 0.9703,                0.75329,                 1.0136,                0.00868,                0.00868,                0.00868
                     43,                 1.2872,                  1.521,                 1.3417,                0.84901,                0.64806,                0.72181,                0.53957,                0.96273,                0.73814,                 1.0091,               0.008647,               0.008647,               0.008647
                     44,                 1.2629,                 1.4848,                 1.3272,                0.83331,                0.66984,                0.72451,                0.54169,                0.95581,                0.72883,                 1.0031,               0.008614,               0.008614,               0.008614
                     45,                 1.2591,                 1.4613,                  1.325,                 0.8514,                0.67455,                0.73235,                0.54854,                0.94387,                0.70931,                0.99729,               0.008581,               0.008581,               0.008581
                     46,                  1.266,                 1.4656,                  1.329,                0.86428,                 0.6619,                0.72958,                 0.5482,                0.94232,                0.70129,                0.99673,               0.008548,               0.008548,               0.008548
                     47,                 1.2621,                 1.4594,                 1.3194,                0.87302,                0.66241,                 0.7334,                0.55121,                0.93245,                 0.7001,                0.99085,               0.008515,               0.008515,               0.008515
                     48,                 1.2358,                 1.4236,                 1.3115,                0.87186,                0.67926,                 0.7417,                0.55841,                0.92714,                0.67964,                0.98489,               0.008482,               0.008482,               0.008482
                     49,                 1.2475,                 1.4117,                 1.3098,                0.89905,                0.67599,                0.74676,                0.56536,                0.92159,                0.67346,                0.98282,               0.008449,               0.008449,               0.008449
                     50,                 1.2229,                 1.3878,                 1.3005,                0.86903,                0.68613,                0.74638,                0.56311,                0.92634,                0.67218,                0.98574,               0.008416,               0.008416,               0.008416
                     51,                 1.2306,                 1.3882,                 1.3051,                0.86054,                0.68547,                0.75105,                0.56403,                0.91696,                0.66148,                0.97896,               0.008383,               0.008383,               0.008383
                     52,                 1.2257,                 1.3749,                 1.2989,                 0.9004,                0.66942,                0.75004,                0.56567,                0.91619,                0.66427,                0.98001,                0.00835,                0.00835,                0.00835
                     53,                 1.2194,                 1.3535,                 1.2926,                0.85937,                0.69078,                0.75534,                0.56936,                0.91285,                0.65605,                 0.9784,               0.008317,               0.008317,               0.008317
                     54,                   1.22,                  1.357,                  1.298,                0.89778,                0.68322,                0.75772,                0.57206,                0.90449,                0.64629,                 0.9762,               0.008284,               0.008284,               0.008284
                     55,                 1.2169,                 1.3388,                 1.2906,                0.87829,                0.69226,                0.76064,                0.57482,                0.90008,                0.63755,                0.97467,               0.008251,               0.008251,               0.008251
                     56,                 1.2129,                 1.3398,                 1.2876,                0.90948,                0.69505,                0.76453,                0.57804,                0.89604,                0.63338,                0.97403,               0.008218,               0.008218,               0.008218
                     57,                 1.1961,                 1.3076,                 1.2812,                0.89243,                0.69757,                0.76469,                0.57872,                0.89718,                0.63081,                0.97364,               0.008185,               0.008185,               0.008185
