                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2446,                 3.4553,                 1.2554,                0.20921,                0.18584,                0.11541,                0.08588,                 1.0986,                 2.5945,                 1.1262,              0.0033207,              0.0033207,              0.0033207
                      2,                 1.1852,                 2.4256,                 1.1769,                0.26598,                0.19803,                0.12034,                0.08438,                  1.181,                 2.6198,                 1.1931,               0.006643,               0.006643,               0.006643
                      3,                 1.2852,                 2.4154,                 1.2324,                0.20896,                0.17136,                0.08585,                  0.056,                 1.3748,                 3.2597,                 1.3216,              0.0099544,              0.0099544,              0.0099544
                      4,                 1.4083,                 2.5651,                 1.3194,                0.15946,                 0.1634,                0.06842,                0.04446,                 1.4827,                 3.1068,                 1.4464,              0.0099505,              0.0099505,              0.0099505
                      5,                 1.4124,                 2.5302,                 1.3363,                0.20897,                0.16697,                 0.0869,                0.05442,                 1.4233,                 2.9627,                 1.3905,              0.0099505,              0.0099505,              0.0099505
                      6,                 1.4028,                 2.3937,                 1.3309,                0.25695,                0.17664,                0.10632,                 0.0685,                 1.4053,                 2.8684,                 1.3707,               0.009934,               0.009934,               0.009934
                      7,                 1.3775,                 2.2967,                 1.3106,                0.26767,                0.19666,                0.12538,                0.08498,                 1.3405,                 2.7677,                 1.3106,              0.0099175,              0.0099175,              0.0099175
                      8,                 1.3406,                 2.1874,                 1.2828,                0.29372,                0.19662,                0.15095,                0.10626,                 1.3085,                 2.5932,                 1.3119,               0.009901,               0.009901,               0.009901
                      9,                 1.3165,                 2.0929,                 1.2678,                0.22045,                0.20941,                0.14571,                0.09825,                 1.3256,                 2.5376,                 1.3076,              0.0098845,              0.0098845,              0.0098845
                     10,                 1.2675,                 1.9727,                 1.2456,                 0.3046,                  0.198,                0.13858,                0.09353,                 1.3393,                 2.6173,                 1.3129,               0.009868,               0.009868,               0.009868
                     11,                 1.2582,                 1.9185,                 1.2404,                0.24269,                0.22416,                0.17367,                0.11883,                 1.2853,                 2.4677,                 1.2751,              0.0098515,              0.0098515,              0.0098515
                     12,                 1.2542,                 1.8423,                 1.2291,                0.29344,                0.25202,                 0.1985,                0.13935,                 1.2519,                 2.3941,                 1.2475,               0.009835,               0.009835,               0.009835
